date,m_winner,m_country,m_time,f_winner,f_country,f_time,marathon
1984,John Skovbjerg (DEN),DEN,02:13:35,Ágnes Sipka (HUN),HUN,02:39:32,Berlin
1985,Jimmy Ashworth (GBR),GBR,02:11:43,Magda Ilands (BEL),BEL,02:34:10,Berlin
1986,Bogusław Psujek (POL),POL,02:11:03,Charlotte Teske (GER),GER,02:32:10,Berlin
1987,Suleiman Nyambui (TAN),TAN,02:11:11,Kerstin Preßler (GER),GER,02:31:22,Berlin
1988,Suleiman Nyambui (2. Sieg),TAN,02:11:45,Renata Kokowska (POL),POL,02:29:16,Berlin
1989,Alfredo Shahanga (TAN),TAN,02:10:11,Päivi Tikkanen (FIN),FIN,02:28:45,Berlin
1990,Steve Moneghetti (AUS),AUS,02:08:16,Uta Pippig (GDR),GER,02:28:37,Berlin
1991,Steve Brace (GBR),GBR,02:10:57,Renata Kokowska (2. Sieg),POL,02:27:36,Berlin
1992,David Tsebe (RSA),RSA,02:08:07,Uta Pippig (2. Sieg),GER,02:30:22,Berlin
1993,Xolile Yawa (RSA),RSA,02:10:57,Renata Kokowska (3. Sieg),POL,02:26:20,Berlin
1994,António Pinto (POR),POR,02:08:31,Katrin Dörre-Heinig (GER),GER,02:25:15,Berlin
1995,Sammy Lelei (KEN),KEN,02:07:02,Uta Pippig (3. Sieg),GER,02:25:37,Berlin
1996,Abel Antón (ESP),ESP,02:09:15,Colleen De Reuck (RSA),RSA,02:26:35,Berlin
1997,Elijah Lagat (KEN),KEN,02:07:41,Catherina McKiernan (IRL),IRL,02:23:44,Berlin
1998,Ronaldo da Costa (BRA),BRA,02:06:05,Marleen Renders (BEL),BEL,02:25:22,Berlin
1999,Josephat Kiprono (KEN),KEN,02:06:44,Tegla Loroupe (KEN),KEN,02:20:43,Berlin
2000,Simon Biwott (KEN),KEN,02:07:42,Kazumi Matsuo (JPN),JPN,02:26:15,Berlin
2001,Joseph Ngolepus (KEN),KEN,02:08:47,Naoko Takahashi (JPN),JPN,02:19:46,Berlin
2002,Raymond Kipkoech Chemwelo (KEN),KEN,02:06:47,Naoko Takahashi (2. Sieg),JPN,02:21:49,Berlin
2003,Paul Tergat (KEN),KEN,02:04:55,Yasuko Hashimoto (JPN),JPN,02:26:32,Berlin
2004,Felix Limo (KEN),KEN,02:06:44,Yōko Shibui (JPN),JPN,02:19:41,Berlin
2005,Philip Kipkurgat Manyim (KEN),KEN,02:07:41,Mizuki Noguchi (JPN),JPN,02:19:12,Berlin
2006,Haile Gebrselassie (ETH),ETH,02:05:56,Gete Wami (ETH),ETH,02:21:34,Berlin
2007,Haile Gebrselassie (2. Sieg),ETH,02:04:26,Gete Wami (2. Sieg),ETH,02:23:17,Berlin
2008,Haile Gebrselassie (3. Sieg),ETH,02:03:59,Irina Mikitenko (GER),GER,02:19:19,Berlin
2009,Haile Gebrselassie (4. Sieg),ETH,02:06:08,Atsede Habtamu (ETH),ETH,02:24:46,Berlin
2010,Patrick Makau Musyoki (KEN),KEN,02:05:08,Aberu Kebede (ETH),ETH,02:23:58,Berlin
2011,Patrick Makau Musyoki (2. Sieg),KEN,02:03:38,Florence Jebet Kiplagat (KEN),KEN,02:19:44,Berlin
2012,Geoffrey Kiprono Mutai (KEN),KEN,02:04:15,Aberu Kebede (2. Sieg),ETH,02:20:30,Berlin
2013,Wilson Kipsang (KEN),KEN,02:03:23,Florence Jebet Kiplagat (2. Sieg),KEN,02:21:13,Berlin
2014,Dennis Kimetto (KEN),KEN,02:02:57,Tirfi Tsegaye (ETH),ETH,02:20:18,Berlin
2015,Eliud Kipchoge (KEN),KEN,02:04:00,Gladys Cherono (KEN),KEN,02:19:25,Berlin
2016,Kenenisa Bekele (ETH),ETH,02:03:03,Aberu Kebede (3. Sieg),ETH,02:20:45,Berlin
1977,Dan Cloeter (USA),USA,02:17:52,Dorothy Doolittle (USA),USA,02:50:47,Chicago
1978,Mark Stanforth (USA),USA,02:19:20,Lynae Larson (USA),USA,02:59:25,Chicago
1979,Dan Cloeter (2. Sieg),USA,02:23:20,Laura Michalek (USA),USA,03:15:45,Chicago
1980,Frank Richardson (USA),USA,02:14:04,Sue Peterson (USA),USA,02:45:03,Chicago
1981,Phil Coppess (USA),USA,02:16:13,Tina Gandy (USA),USA,02:49:39,Chicago
1982,Greg Meyer (USA),USA,02:10:59,Nancy Conz (USA),USA,02:33:23,Chicago
1983,Joseph Nzau (KEN),KEN,02:09:44,Rosa Mota (POR),POR,02:31:12,Chicago
1984,Steve Jones (GBR),GBR,02:08:05,Rosa Mota (2. Sieg),POR,02:26:01,Chicago
1985,Steve Jones (2. Sieg),GBR,02:07:13,Joan Benoit Samuelson (USA),USA,02:21:21,Chicago
1986,Toshihiko Seko (JPN),JPN,02:08:27,Ingrid Kristiansen (NOR),NOR,02:27:08,Chicago
1988,Alejandro Cruz (MEX),MEX,02:08:57,Lisa Weidenbach (USA),USA,02:29:17,Chicago
1989,Paul Davies-Hale (GBR),GBR,02:11:25,Lisa Weidenbach (2. Sieg),USA,02:28:15,Chicago
1990,Martín Pitayo (MEX),MEX,02:09:41,Aurora Cunha (POR),POR,02:30:11,Chicago
1991,Joseildo Rocha da Silva (BRA),BRA,02:14:33,Midde Hamrin (SWE),SWE,02:36:21,Chicago
1992,José César de Souza (BRA),BRA,02:16:14,Linda Somers (USA),USA,02:37:41,Chicago
1993,Luíz Antônio dos Santos (BRA),BRA,02:13:15,Ritva Lemettinen (FIN),FIN,02:33:18,Chicago
1994,Luíz Antônio dos Santos (2. Sieg),BRA,02:11:16,Kristy Johnston (USA),USA,02:31:34,Chicago
1995,Eamonn Martin (GBR),GBR,02:11:18,Ritva Lemettinen (2. Sieg),FIN,02:28:27,Chicago
1996,Paul Evans (GBR),GBR,02:08:52,Marian Sutton (GBR),GBR,02:30:41,Chicago
1997,Khalid Khannouchi (MAR),MAR,02:07:10,Marian Sutton (2. Sieg),GBR,02:29:03,Chicago
1998,Ondoro Osoro (KEN),KEN,02:06:54,Joyce Chepchumba (KEN),KEN,02:23:57,Chicago
1999,Khalid Khannouchi (2. Sieg),MAR,02:05:42,Joyce Chepchumba (2. Sieg),KEN,02:25:59,Chicago
2000,Khalid Khannouchi (USA) (3. Sieg),MAR,02:07:01,Catherine Ndereba (KEN),KEN,02:21:33,Chicago
2001,Benedict Muli Kimondiu (KEN),KEN,02:08:52,Catherine Ndereba (2. Sieg),KEN,02:18:47,Chicago
2002,Khalid Khannouchi (4. Sieg),MAR,02:05:56,Paula Radcliffe (GBR),GBR,02:17:18,Chicago
2003,Evans Rutto (KEN),KEN,02:05:50,Swetlana Sacharowa (RUS),RUS,02:23:07,Chicago
2004,Evans Rutto (2. Sieg),KEN,02:06:16,Constantina Tomescu (ROM),ROM,02:23:45,Chicago
2005,Felix Limo (KEN),KEN,02:07:02,Deena Kastor (USA),USA,02:21:25,Chicago
2006,Robert Kipkoech Cheruiyot (KEN),KEN,02:07:35,Berhane Adere (ETH),ETH,02:20:42,Chicago
2007,Patrick Mutuku Ivuti (KEN),KEN,02:11:11,Berhane Adere (2. Sieg),ETH,02:33:49,Chicago
2008,Evans Kiprop Cheruiyot (KEN),KEN,02:06:25,Lidija Grigorjewa (RUS),RUS,02:27:17,Chicago
2009,Samuel Kamau Wanjiru (KEN),KEN,02:05:41,Irina Mikitenko (GER),GER,02:26:31,Chicago
2010,Samuel Kamau Wanjiru (2. Sieg),KEN,02:06:24,Atsede Baysa (ETH),ETH,02:23:40,Chicago
2011,Moses Cheruiyot Mosop (KEN),KEN,02:05:37,Ejegayehu Dibaba (ETH),ETH,02:22:09,Chicago
2012,Tsegay Kebede (ETH),ETH,02:04:38,Atsede Baysa (2. Sieg),ETH,02:22:04,Chicago
2013,Dennis Kipruto Kimetto (KEN),KEN,02:03:45,Rita Jeptoo Sitienei (KEN),KEN,02:19:57,Chicago
2014,Eliud Kipchoge (KEN),KEN,02:04:11,Mare Dibaba (ETH),ETH,02:25:37,Chicago
2015,Dickson Kiptolo Chumba (KEN),KEN,02:09:25,Florence Jebet Kiplagat (KEN),KEN,02:23:33,Chicago
2016,Abel Kirui (KEN),KEN,02:11:23,Florence Jebet Kiplagat (2. Sieg),KEN,02:21:32,Chicago
1981,"Dick Beardsley (USA)
& Inge Simonsen (NOR)",USA / NOR,02:11:48,Joyce Smith (GBR),GBR,02:29:57,London
1982,Hugh Jones (GBR),GBR,02:09:24,Joyce Smith -2-,GBR,02:29:43,London
1983,Mike Gratton (GBR),GBR,02:09:43,Grete Waitz (NOR),NOR,02:25:29,London
1984,Charlie Spedding (GBR),GBR,02:09:57,Ingrid Kristiansen (NOR),NOR,02:24:26,London
1985,Steve Jones (GBR),GBR,02:08:16,Ingrid Kristiansen -2-,NOR,02:21:06,London
1986,Toshihiko Seko (JPN),JPN,02:10:02,Grete Waitz -2-,NOR,02:24:54,London
1987,Hiromi Taniguchi (JPN),JPN,02:09:50,Ingrid Kristiansen -3-,NOR,02:22:48,London
1988,Henrik Jørgensen (DEN),DEN,02:10:20,Ingrid Kristiansen -4-,NOR,02:25:41,London
1989,Douglas Wakiihuri (KEN),KEN,02:09:03,Veronique Marot (GBR),GBR,02:25:56,London
1990,Allister Hutton (GBR),GBR,02:10:10,Wanda Panfil (POL),POL,02:26:31,London
1991,Jakow Tolstikow (RUS),RUS,02:09:17,Rosa Mota (POR),POR,02:26:14,London
1992,António Pinto (POR),POR,02:10:02,Katrin Dörre-Heinig (GER),GER,02:29:39,London
1993,Eamonn Martin (GBR),GBR,02:10:50,Katrin Dörre-Heinig -2-,GBR,02:27:09,London
1994,Dionicio Cerón (MEX),MEX,02:08:53,Katrin Dörre-Heinig -3-,GBR,02:32:34,London
1995,Dionicio Cerón -2-,GBR,02:08:30,Małgorzata Sobańska (POL),POL,02:27:43,London
1996,Dionicio Cerón -3-,GBR,02:10:00,Liz McColgan (GBR),GBR,02:27:54,London
1997,António Pinto -2-,POR,02:07:55,Joyce Chepchumba (KEN),KEN,02:26:51,London
1998,Abel Antón (ESP),ESP,02:07:57,Catherina McKiernan (IRL),IRL,02:26:26,London
1999,Abdelkader El Mouaziz (MAR),MAR,02:07:57,Joyce Chepchumba -2-,KEN,02:23:22,London
2000,António Pinto -3-,POR,02:06:36,Tegla Loroupe (KEN),KEN,02:24:33,London
2001,Abdelkader El Mouaziz -2-,MAR,02:07:11,Derartu Tulu (ETH),ETH,02:23:57,London
2002,Khalid Khannouchi (USA),USA,02:05:38,Paula Radcliffe (GBR),GBR,02:18:56,London
2003,Gezahegne Abera (ETH),ETH,02:07:56,Paula Radcliffe -2-,KEN,02:15:25,London
2004,Evans Rutto (KEN),KEN,02:06:18,Margaret Okayo (KEN),KEN,02:22:35,London
2005,Martin Kiptoo Lel (KEN),KEN,02:07:26,Paula Radcliffe -3-,GBR,02:17:42,London
2006,Felix Limo (KEN),KEN,02:06:39,Deena Kastor (USA),USA,02:19:36,London
2007,Martin Kiptoo Lel -2-,KEN,02:07:41,Zhou Chunxiu (CHN),CHN,02:20:38,London
2008,Martin Kiptoo Lel -3-,KEN,02:05:15,Irina Mikitenko (GER),GER,02:24:14,London
2009,Samuel Kamau Wanjiru (KEN),KEN,02:05:10,Irina Mikitenko -2-,GER,02:22:11,London
2010,Tsegay Kebede (ETH),ETH,02:05:19,Aselefech Mergia (ETH),ETH,02:22:38,London
